Time Frame,Date,Ta (C),Tm (C),I3 (W/m2),I15 (W/m2),P (kW)
16,3/5/12 4:55 PM,13.01,12.05,52.47,53.08,6.5
17,3/5/12 5:55 PM,11.81,8.5,10.41,10.95,0.01
18,3/5/12 6:55 PM,10.33,5.68,0.0,0.0,0.0
19,3/5/12 7:55 PM,9.66,4.67,0.0,0.0,0.0
20,3/5/12 8:55 PM,8.91,3.82,0.0,0.0,0.0
21,3/5/12 9:45 PM,8.05,2.97,0.0,0.0,0.0
22,3/5/12 9:45 PM,0.0,0.0,0.0,0.0,0.0
23,3/5/12 9:45 PM,0.0,0.0,0.0,0.0,0.0
24,3/5/12 9:45 PM,0.0,0.0,0.0,0.0,0.0
1,3/5/12 9:45 PM,0.0,0.0,0.0,0.0,0.0
2,3/5/12 9:45 PM,0.0,0.0,0.0,0.0,0.0
3,3/6/12 3:55 AM,4.9,1.3,0.0,0.0,0.0
4,3/6/12 4:55 AM,4.71,1.42,0.0,0.0,0.0
5,3/6/12 5:55 AM,4.75,1.22,22.09,25.61,14.75
6,3/6/12 6:55 AM,5.08,2.0,153.43,186.61,127.16
7,3/6/12 7:55 AM,7.11,5.86,323.21,399.02,302.46
8,3/6/12 8:55 AM,10.76,16.75,537.31,627.38,504.23
9,3/6/12 9:55 AM,14.98,27.11,444.55,545.27,409.7
10,3/6/12 10:55 AM,16.51,33.09,575.43,645.62,521.75
11,3/6/12 11:55 AM,17.66,35.37,391.64,452.45,379.09
12,3/6/12 12:55 PM,17.66,28.6,414.15,529.15,352.52
13,3/6/12 1:55 PM,17.57,26.73,560.71,646.95,519.79
14,3/6/12 2:55 PM,17.81,31.28,276.14,299.55,240.61
15,3/6/12 3:55 PM,16.54,22.95,156.12,164.14,135.16
16,3/6/12 4:15 PM,15.5,17.89,15.92,16.9,12.97
17,3/6/12 5:57 PM,13.18,10.36,0.0,0.0,0.0
18,3/6/12 6:57 PM,11.99,7.48,0.0,0.0,0.0
19,3/6/12 7:57 PM,11.63,8.03,0.0,0.0,0.0
20,3/6/12 8:57 PM,10.93,6.3,0.0,0.0,0.0
21,3/6/12 9:47 PM,10.49,5.71,0.0,0.0,0.0
22,3/6/12 9:47 PM,0.0,0.0,0.0,0.0,0.0
23,3/6/12 9:47 PM,0.0,0.0,0.0,0.0,0.0
24,3/6/12 9:47 PM,0.0,0.0,0.0,0.0,0.0
1,3/6/12 9:47 PM,0.0,0.0,0.0,0.0,0.0
2,3/6/12 9:47 PM,0.0,0.0,0.0,0.0,0.0
3,3/6/12 9:47 PM,0.0,0.0,0.0,0.0,0.0
4,3/7/12 4:56 AM,8.15,4.32,0.0,0.0,0.0
5,3/7/12 5:56 AM,8.32,4.75,24.36,26.27,16.82
6,3/7/12 6:54 AM,8.35,4.33,155.54,181.42,139.23
7,3/7/12 7:54 AM,9.85,7.8,309.45,375.97,293.94
8,3/7/12 8:54 AM,11.9,14.09,548.43,645.98,511.93
9,3/7/12 9:54 AM,14.13,24.81,639.57,709.91,571.01
10,3/7/12 10:54 AM,15.57,29.01,706.19,781.53,639.31
11,3/7/12 11:54 AM,17.0,38.76,370.65,301.14,335.83
12,3/7/12 12:54 PM,17.19,28.09,159.4,167.02,142.99
13,3/7/12 1:54 PM,15.4,17.72,68.98,65.63,59.64
14,3/7/12 2:54 PM,13.76,13.93,40.48,43.45,33.89
15,3/7/12 3:54 PM,13.16,11.58,18.64,17.83,13.98
16,3/7/12 4:54 PM,13.05,11.63,3.06,3.48,2.55
17,3/7/12 5:54 PM,12.77,11.01,0.0,0.0,0.0
18,3/7/12 6:54 PM,12.19,9.52,0.0,0.0,0.0
19,3/7/12 7:54 PM,11.64,8.03,0.0,0.0,0.0
20,3/7/12 8:54 PM,11.35,8.11,0.0,0.0,0.0
21,3/7/12 9:54 PM,11.04,8.19,0.0,0.0,0.0
22,3/7/12 9:54 PM,0.0,0.0,0.0,0.0,0.0
23,3/7/12 9:54 PM,0.0,0.0,0.0,0.0,0.0
24,3/7/12 9:54 PM,0.0,0.0,0.0,0.0,0.0
1,3/7/12 9:54 PM,0.0,0.0,0.0,0.0,0.0
2,3/7/12 9:54 PM,0.0,0.0,0.0,0.0,0.0
